# source_id<TAB>subject_slug; one source may occur on any number of rows.
leanprover-community__mathlib4	category-theory
leanprover-community__mathlib4	logic
leanprover-community__mathlib4	set-theory
leanprover-community__mathlib4	model-theory
leanprover-community__mathlib4	order-theory
leanprover-community__mathlib4	computability
leanprover-community__mathlib4	group-theory
leanprover-community__mathlib4	finite-group-theory
leanprover-community__mathlib4	ring-theory
leanprover-community__mathlib4	commutative-algebra
leanprover-community__mathlib4	field-theory
leanprover-community__mathlib4	linear-algebra
leanprover-community__mathlib4	representation-theory
leanprover-community__mathlib4	homological-algebra
leanprover-community__mathlib4	elementary-number-theory
leanprover-community__mathlib4	algebraic-number-theory
leanprover-community__mathlib4	analytic-number-theory
leanprover-community__mathlib4	arithmetic-geometry
leanprover-community__mathlib4	p-adic-mathematics
leanprover-community__mathlib4	algebraic-geometry
leanprover-community__mathlib4	topology
leanprover-community__mathlib4	algebraic-topology
leanprover-community__mathlib4	homotopy-theory
leanprover-community__mathlib4	differential-geometry
leanprover-community__mathlib4	discrete-geometry
leanprover-community__mathlib4	convex-geometry
leanprover-community__mathlib4	real-analysis
leanprover-community__mathlib4	complex-analysis
leanprover-community__mathlib4	functional-analysis
leanprover-community__mathlib4	harmonic-analysis
leanprover-community__mathlib4	measure-theory
leanprover-community__mathlib4	probability
leanprover-community__mathlib4	metric-spaces
leanprover-community__mathlib4	spectral-theory
leanprover-community__mathlib4	dynamical-systems
leanprover-community__mathlib4	combinatorics
leanprover-community__mathlib4	graph-theory
leanprover-community__mathlib4	matroid-theory
leanprover-community__mathlib4	enumerative-combinatorics
leanprover-community__mathlib4	additive-combinatorics
UniMath__agda-unimath	category-theory
UniMath__agda-unimath	higher-category-theory
UniMath__agda-unimath	logic
UniMath__agda-unimath	set-theory
UniMath__agda-unimath	type-theory
UniMath__agda-unimath	homotopy-type-theory
UniMath__agda-unimath	modal-type-theory
UniMath__agda-unimath	domain-theory
UniMath__agda-unimath	order-theory
UniMath__agda-unimath	universal-algebra
UniMath__agda-unimath	finite-algebra
UniMath__agda-unimath	group-theory
UniMath__agda-unimath	finite-group-theory
UniMath__agda-unimath	higher-group-theory
UniMath__agda-unimath	ring-theory
UniMath__agda-unimath	commutative-algebra
UniMath__agda-unimath	field-theory
UniMath__agda-unimath	linear-algebra
UniMath__agda-unimath	elementary-number-theory
UniMath__agda-unimath	topology
UniMath__agda-unimath	homotopy-theory
UniMath__agda-unimath	discrete-geometry
UniMath__agda-unimath	real-analysis
UniMath__agda-unimath	functional-analysis
UniMath__agda-unimath	metric-spaces
UniMath__agda-unimath	spectral-theory
UniMath__agda-unimath	combinatorics
UniMath__agda-unimath	graph-theory
emilyriehl__infinity-cosmos	category-theory
emilyriehl__infinity-cosmos	higher-category-theory
emilyriehl__infinity-cosmos	homotopy-theory
sinhp__HoTTLean	type-theory
sinhp__HoTTLean	homotopy-type-theory
sinhp__HoTTLean	category-theory
sinhp__Poly	category-theory
sinhp__Poly	type-theory
sinhp__LeanFibredCategories	category-theory
sinhp__displayed_categories	category-theory
kim-em__lean-category-theory	category-theory
rzrn__ground_zero	type-theory
rzrn__ground_zero	homotopy-type-theory
gebner__hott3	type-theory
gebner__hott3	homotopy-type-theory
rkirov__category-theory-in-context-lean	category-theory
awodey__joyal	category-theory
mariovagomarzal__higher_category_theory	category-theory
mariovagomarzal__higher_category_theory	higher-category-theory
ivankobe__FactorizationSystems	category-theory
zilberstein__domain-theory	domain-theory
zilberstein__domain-theory	order-theory
Verified-zkEVM__PolyFun	category-theory
Verified-zkEVM__PolyFun	formal-semantics
alexkeizer__QPFTypes	type-theory
alexkeizer__QPFTypes	category-theory
dagurtomas__LeanCondensed	category-theory
dagurtomas__LeanCondensed	homological-algebra
dagurtomas__LeanCondensed	topology
mattrobball__BridgelandStability	algebraic-geometry
mattrobball__BridgelandStability	homological-algebra
mattrobball__BridgelandStability	category-theory
YijunYuan__HarderNarasimhan	algebraic-geometry
YijunYuan__HarderNarasimhan	category-theory
Paul-Lez__PersistentDecomp	algebraic-topology
Paul-Lez__PersistentDecomp	linear-algebra
Paul-Lez__PersistentDecomp	category-theory
Dominique-Lawson__Directed-Topology-Lean-4	topology
peabrainiac__lean-catdg	category-theory
peabrainiac__lean-catdg	differential-geometry
riccardobrasca__SDG	differential-geometry
riccardobrasca__SDG	category-theory
ImperialCollegeLondon__FLT	commutative-algebra
ImperialCollegeLondon__FLT	algebraic-number-theory
ImperialCollegeLondon__FLT	arithmetic-geometry
ImperialCollegeLondon__FLT	algebraic-geometry
leanprover-community__flt-regular	algebraic-number-theory
leanprover-community__flt-regular	field-theory
leanprover-community__flt-regular	commutative-algebra
kbuzzard__ClassFieldTheory	algebraic-number-theory
kbuzzard__ClassFieldTheory	field-theory
kbuzzard__ClassFieldTheory	p-adic-mathematics
mariainesdff__LocalClassFieldTheory	algebraic-number-theory
mariainesdff__LocalClassFieldTheory	field-theory
mariainesdff__LocalClassFieldTheory	commutative-algebra
mariainesdff__LocalClassFieldTheory	p-adic-mathematics
AntoineChambert-Loir__DividedPowers4	ring-theory
AntoineChambert-Loir__DividedPowers4	commutative-algebra
AntoineChambert-Loir__DividedPowers4	algebraic-geometry
YaelDillies__toric	algebraic-geometry
YaelDillies__toric	combinatorics
YaelDillies__toric	discrete-geometry
MichaelStollBayreuth__EulerProducts	analytic-number-theory
MichaelStollBayreuth__Heights	arithmetic-geometry
MichaelStollBayreuth__Heights	algebraic-number-theory
CBirkbeck__AINTLIB	elementary-number-theory
CBirkbeck__AINTLIB	algebraic-number-theory
CBirkbeck__AINTLIB	analytic-number-theory
ANR-FALSE__PadicModForms	p-adic-mathematics
ANR-FALSE__PadicModForms	modular-forms
ANR-FALSE__PadicModForms	arithmetic-geometry
loefflerd__ModularFormDimensions	modular-forms
loefflerd__ModularFormDimensions	arithmetic-geometry
CBirkbeck__ModularForms_Lean4	modular-forms
CBirkbeck__ModularForms_Lean4	arithmetic-geometry
CBirkbeck__DirichletNonvanishing	analytic-number-theory
CBirkbeck__DirichletNonvanishing	complex-analysis
CBirkbeck__WeilConverse	analytic-number-theory
CBirkbeck__WeilConverse	complex-analysis
AlexKontorovich__PrimeNumberTheoremAnd	analytic-number-theory
AlexKontorovich__PrimeNumberTheoremAnd	complex-analysis
math-inc__strongpnt	analytic-number-theory
math-inc__strongpnt	complex-analysis
teorth__expdb	analytic-number-theory
b-mehta__ABC-Exceptions	arithmetic-geometry
yawara__odd-order	group-theory
yawara__odd-order	finite-group-theory
JobPetrovcic__ArtinWedderburn	ring-theory
JobPetrovcic__ArtinWedderburn	linear-algebra
JobPetrovcic__ArtinWedderburn	representation-theory
Whysoserioushah__BrauerGroup	ring-theory
Whysoserioushah__BrauerGroup	commutative-algebra
Whysoserioushah__BrauerGroup	algebraic-geometry
